epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1788.76,1.36624,7.08725,1.65262,0.69813,0.00729,0.00426,0.0026,1.55552,5.16604,1.83596,0.00333229,0.00333229,0.00333229
2,3640.09,1.33896,6.55184,1.61959,0.65338,0.01985,0.01734,0.00997,1.56676,4.42753,1.82087,0.00650065,0.00650065,0.00650065
3,5516.23,1.36469,5.92812,1.61179,0.65765,0.02958,0.04136,0.0232,1.55111,4.03587,1.79376,0.00950401,0.00950401,0.00950401
4,7359.44,1.37918,4.77471,1.58862,0.69963,0.0945,0.13062,0.07891,1.46337,3.44843,1.68499,0.0092575,0.0092575,0.0092575
5,9215.76,1.35205,4.09837,1.55193,0.70673,0.15982,0.2294,0.14534,1.40616,3.00833,1.63374,0.00901,0.00901,0.00901
6,11063.5,1.32757,3.77152,1.52354,0.70338,0.23744,0.31517,0.20604,1.34399,2.67695,1.57845,0.0087625,0.0087625,0.0087625
7,12920.5,1.30092,3.5106,1.49792,0.71536,0.28292,0.38406,0.24855,1.32711,2.44726,1.55995,0.008515,0.008515,0.008515
8,14751.6,1.28194,3.30711,1.48386,0.68707,0.34886,0.4387,0.28839,1.30551,2.25406,1.53835,0.0082675,0.0082675,0.0082675
9,16521.7,1.26566,3.1507,1.47335,0.68222,0.39418,0.48843,0.32109,1.28379,2.10121,1.52317,0.00802,0.00802,0.00802
10,18296,1.25312,3.01242,1.45941,0.7089,0.42725,0.53484,0.35582,1.26675,1.9616,1.50726,0.0077725,0.0077725,0.0077725
11,20074.8,1.24073,2.88177,1.44817,0.71396,0.46054,0.56814,0.38174,1.24884,1.85876,1.49385,0.007525,0.007525,0.007525
12,21838.9,1.23051,2.78203,1.43819,0.7149,0.49292,0.59538,0.40237,1.22869,1.77738,1.47841,0.0072775,0.0072775,0.0072775
13,23580.9,1.2151,2.68372,1.42936,0.72447,0.51164,0.61647,0.41737,1.21402,1.69859,1.46787,0.00703,0.00703,0.00703
14,25349.6,1.20934,2.60365,1.4249,0.73792,0.53042,0.63697,0.43346,1.20121,1.64286,1.4568,0.0067825,0.0067825,0.0067825
15,27141,1.19858,2.53487,1.41729,0.71478,0.56287,0.65268,0.44677,1.19263,1.59655,1.45023,0.006535,0.006535,0.006535
16,28930.5,1.19019,2.46375,1.41081,0.71792,0.5809,0.66612,0.45754,1.18253,1.55414,1.44315,0.0062875,0.0062875,0.0062875
17,30736.9,1.18388,2.40359,1.40331,0.74278,0.58245,0.6768,0.46468,1.17717,1.5204,1.43821,0.00604,0.00604,0.00604
18,32528.5,1.16958,2.33401,1.3953,0.73392,0.59937,0.68374,0.47173,1.17044,1.49356,1.43258,0.0057925,0.0057925,0.0057925
19,34268.6,1.16726,2.29538,1.39445,0.73953,0.60123,0.69097,0.47711,1.16744,1.47216,1.4299,0.005545,0.005545,0.005545
20,1763.8,1.16256,2.30178,1.39021,0.74669,0.60304,0.69282,0.47855,1.16426,1.46434,1.42781,0.0052975,0.0052975,0.0052975
21,3545.63,1.15626,2.26854,1.38585,0.74778,0.6068,0.6968,0.48148,1.16038,1.45335,1.42471,0.00505,0.00505,0.00505
22,5554.54,1.14966,2.22064,1.38213,0.75528,0.60638,0.7002,0.48393,1.15708,1.44146,1.42209,0.0048025,0.0048025,0.0048025
23,7890.68,1.1435,2.17108,1.37616,0.7581,0.60901,0.70336,0.48663,1.15372,1.42941,1.4197,0.004555,0.004555,0.004555
24,2193.95,1.1246,2.13721,1.36416,0.76559,0.60706,0.70464,0.4874,1.15187,1.42475,1.4185,0.0043075,0.0043075,0.0043075
25,4705.79,1.12773,2.13395,1.36541,0.75814,0.61318,0.70643,0.48922,1.15024,1.41774,1.41698,0.00406,0.00406,0.00406
26,6894.74,1.1251,2.10736,1.3656,0.76149,0.61522,0.70991,0.49216,1.14877,1.40943,1.41557,0.0038125,0.0038125,0.0038125
27,8723.67,1.1228,2.0721,1.36146,0.76548,0.61624,0.71169,0.49382,1.14673,1.4007,1.414,0.003565,0.003565,0.003565
28,10721.7,1.11398,2.03243,1.357,0.76825,0.61742,0.71446,0.49597,1.14464,1.39158,1.41203,0.0033175,0.0033175,0.0033175
29,12684.2,1.10702,1.99428,1.35123,0.77172,0.61825,0.71683,0.4984,1.14228,1.38124,1.40964,0.00307,0.00307,0.00307
30,14474.8,1.09697,1.94192,1.34249,0.76522,0.62656,0.71977,0.50067,1.13934,1.37037,1.40743,0.0028225,0.0028225,0.0028225
31,16272.5,1.05956,1.53231,1.40319,0.76465,0.63319,0.72365,0.5036,1.1366,1.35803,1.40521,0.002575,0.002575,0.002575
32,18141.5,1.04117,1.45673,1.38702,0.76739,0.6376,0.72864,0.50732,1.13275,1.34383,1.4015,0.0023275,0.0023275,0.0023275
33,19886.8,1.02717,1.40978,1.3774,0.76559,0.64641,0.73436,0.51253,1.12919,1.32973,1.39837,0.00208,0.00208,0.00208
