epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1085.25,1.24001,6.37597,1.37169,0.69693,0.00741,0.0052,0.0034,1.29319,5.23965,1.52246,0.00333124,0.00333124,0.00333124
2,1956.64,1.27554,5.67046,1.40198,0.71833,0.03959,0.04033,0.02689,1.2859,4.34061,1.48638,0.00649963,0.00649963,0.00649963
3,2761.36,1.32468,5.18362,1.42332,0.66998,0.05622,0.06333,0.03947,1.3285,4.03764,1.5216,0.00950301,0.00950301,0.00950301
4,3549.3,1.32705,4.64917,1.40426,0.67236,0.13552,0.17603,0.11935,1.26001,3.33516,1.43038,0.0092575,0.0092575,0.0092575
5,4358.41,1.29086,3.87477,1.36412,0.6623,0.23984,0.30505,0.20979,1.22025,2.8023,1.38055,0.00901,0.00901,0.00901
6,5109.4,1.26931,3.36366,1.34717,0.70414,0.30336,0.40724,0.28462,1.19406,2.43134,1.37113,0.0087625,0.0087625,0.0087625
7,5927.7,1.24717,3.07313,1.32688,0.70393,0.35794,0.47559,0.33482,1.16583,2.19014,1.33624,0.008515,0.008515,0.008515
8,6769.29,1.22523,2.85813,1.31091,0.70654,0.42956,0.53717,0.38232,1.13779,1.965,1.31387,0.0082675,0.0082675,0.0082675
9,7636.51,1.20982,2.70645,1.30445,0.73863,0.46683,0.57099,0.40581,1.11699,1.81818,1.29757,0.00802,0.00802,0.00802
10,8409.71,1.18913,2.57664,1.29205,0.74798,0.50818,0.61521,0.44126,1.09314,1.70184,1.27912,0.0077725,0.0077725,0.0077725
11,9252.42,1.18308,2.45963,1.28173,0.75274,0.52661,0.63032,0.4516,1.08495,1.61589,1.26675,0.007525,0.007525,0.007525
12,10123.5,1.16844,2.35933,1.27323,0.73233,0.56605,0.6559,0.47331,1.06699,1.52625,1.25456,0.0072775,0.0072775,0.0072775
13,10966.4,1.15615,2.29068,1.26585,0.74768,0.57997,0.67446,0.48813,1.05419,1.4707,1.24567,0.00703,0.00703,0.00703
14,11838,1.14509,2.19402,1.2585,0.77416,0.58632,0.68936,0.5007,1.04905,1.42154,1.23886,0.0067825,0.0067825,0.0067825
15,12681.1,1.13655,2.1449,1.25179,0.77274,0.60456,0.70608,0.51297,1.03892,1.37698,1.22942,0.006535,0.006535,0.006535
16,13551,1.12856,2.0842,1.24989,0.77514,0.62273,0.71595,0.52142,1.0342,1.34257,1.22749,0.0062875,0.0062875,0.0062875
17,14393,1.12283,2.02883,1.24529,0.78517,0.62785,0.72357,0.52901,1.02843,1.31315,1.22322,0.00604,0.00604,0.00604
18,15264.8,1.11052,1.96742,1.23798,0.79277,0.63426,0.73203,0.53545,1.02364,1.29149,1.21982,0.0057925,0.0057925,0.0057925
19,16109.9,1.1032,1.93078,1.23265,0.80393,0.63591,0.73807,0.54014,1.01893,1.27239,1.21659,0.005545,0.005545,0.005545
20,16947.1,1.09583,1.87898,1.22886,0.80684,0.63863,0.74153,0.54384,1.01489,1.2559,1.21344,0.0052975,0.0052975,0.0052975
21,17812.1,1.09121,1.83769,1.22594,0.79434,0.65415,0.74632,0.54722,1.01137,1.23989,1.21054,0.00505,0.00505,0.00505
22,18654.1,1.07953,1.78986,1.22059,0.80867,0.65011,0.7507,0.5507,1.00792,1.22539,1.20791,0.0048025,0.0048025,0.0048025
23,19524.1,1.07369,1.75054,1.21456,0.78221,0.67042,0.75438,0.55504,1.00534,1.21316,1.20596,0.004555,0.004555,0.004555
24,20367.6,1.06592,1.71227,1.21081,0.77142,0.67968,0.75733,0.5572,1.00338,1.20359,1.20454,0.0043075,0.0043075,0.0043075
25,21240.8,1.05951,1.67966,1.20504,0.77645,0.67866,0.75964,0.5597,1.00125,1.19417,1.20269,0.00406,0.00406,0.00406
26,22182.4,1.05195,1.64664,1.20213,0.79033,0.67577,0.76259,0.56194,0.99917,1.18457,1.20116,0.0038125,0.0038125,0.0038125
27,23133.6,1.04398,1.60448,1.19634,0.77844,0.68771,0.76618,0.56447,0.99694,1.17525,1.19942,0.003565,0.003565,0.003565
28,24060.9,1.03923,1.57727,1.19437,0.76924,0.6989,0.7694,0.56775,0.99495,1.16629,1.19796,0.0033175,0.0033175,0.0033175
29,24983.7,1.03116,1.54203,1.18875,0.7718,0.69983,0.77175,0.57004,0.99272,1.15666,1.19591,0.00307,0.00307,0.00307
30,25903.3,1.02299,1.50852,1.18471,0.77618,0.7023,0.77523,0.57334,0.99074,1.1477,1.19415,0.0028225,0.0028225,0.0028225
31,26752.2,0.98322,1.14754,1.20849,0.78775,0.70222,0.77948,0.57683,0.98804,1.13642,1.19186,0.002575,0.002575,0.002575
32,27564.7,0.96624,1.08398,1.1972,0.80059,0.70385,0.78395,0.58094,0.98516,1.12391,1.18952,0.0023275,0.0023275,0.0023275
33,28399,0.95329,1.03882,1.18736,0.7962,0.71189,0.78792,0.58477,0.98208,1.1106,1.18687,0.00208,0.00208,0.00208
34,29208,0.93931,0.99593,1.17742,0.80221,0.71792,0.79264,0.58881,0.97892,1.09655,1.18396,0.0018325,0.0018325,0.0018325
35,30055.1,0.92833,0.96301,1.17072,0.80701,0.71908,0.79597,0.59262,0.97593,1.08331,1.18118,0.001585,0.001585,0.001585
36,30931.4,0.91568,0.92887,1.16014,0.81956,0.71905,0.79984,0.59639,0.97317,1.07059,1.17873,0.0013375,0.0013375,0.0013375
37,31804.7,0.90593,0.90362,1.15513,0.81752,0.72505,0.80414,0.60035,0.97037,1.05801,1.1766,0.00109,0.00109,0.00109
38,32678,0.89591,0.87084,1.14895,0.82343,0.72506,0.80709,0.60247,0.96816,1.04465,1.17441,0.0008425,0.0008425,0.0008425
39,33551.8,0.8847,0.84706,1.1411,0.82943,0.72578,0.8096,0.60519,0.96565,1.0328,1.17226,0.000595,0.000595,0.000595
40,34423.9,0.87359,0.82514,1.13324,0.82991,0.73038,0.81342,0.60848,0.96329,1.02174,1.17018,0.0003475,0.0003475,0.0003475
