brand,correct,total,accuracy
steeden,11,11,100.0
maybach-2,5,11,45.45454545454545
BOSCH,9,9,100.0
xinxiangyin,9,9,100.0
mclaren,8,8,100.0
kleenex,8,8,100.0
ladycare,8,8,100.0
schwarzkopf,3,8,37.5
avery dennison-2,1,7,14.285714285714285
Frommer's,7,7,100.0
lexus-1,6,7,85.71428571428571
seat,7,7,100.0
brita,7,7,100.0
lexus-2,3,7,42.857142857142854
INOHERB-2,3,6,50.0
tempur-pedic,6,6,100.0
nataraj,6,6,100.0
x-acto,5,6,83.33333333333334
caran d'ache,6,6,100.0
prismacolor,5,6,83.33333333333334
ollie's bargain outlet,6,6,100.0
shimano,6,6,100.0
Frizz-Ease,6,6,100.0
haers,6,6,100.0
stein mart,6,6,100.0
ADCO,6,6,100.0
pinarello,6,6,100.0
magicamah,6,6,100.0
Alba Botanica,6,6,100.0
agv,6,6,100.0
iPhone-2,0,6,0.0
kangshu,5,5,100.0
brown jordan,5,5,100.0
la roche-posay,5,5,100.0
jd,5,5,100.0
malata-2,3,5,60.0
auxx-1,2,5,40.0
yutong-1,2,5,40.0
repsol ypf,5,5,100.0
bluemoon,5,5,100.0
GF,5,5,100.0
game boy,5,5,100.0
Chronoswiss-2,1,5,20.0
nivea,5,5,100.0
fiyta,4,5,80.0
k'nex,5,5,100.0
zwitsal,5,5,100.0
Chevron,5,5,100.0
younkers,4,5,80.0
skype,5,5,100.0
yonex,5,5,100.0
taylormade,5,5,100.0
sherrin,5,5,100.0
muddy fox,5,5,100.0
tubao-3,0,5,0.0
IHG,5,5,100.0
sibao,0,5,0.0
hd,5,5,100.0
sellotape,5,5,100.0
staedtler,5,5,100.0
Canon,5,5,100.0
oakley-2,1,5,20.0
IVORY,5,5,100.0
Hascol Petroleum,4,4,100.0
Billy Jealousy,3,4,75.0
Biolage,3,4,75.0
mokingran,4,4,100.0
stakmore,4,4,100.0
Hilton Worldwide-1,0,4,0.0
Asics,4,4,100.0
masi bicycles,3,4,75.0
lancome,3,4,75.0
petro-canada,4,4,100.0
rickenbacker,4,4,100.0
auxx-2,1,4,25.0
ExxonMobil,4,4,100.0
Amoco,4,4,100.0
nakamichi-1,2,4,50.0
tabak especial,4,4,100.0
maydos,4,4,100.0
battleship,3,4,75.0
INOHERB-1,1,4,25.0
picc,4,4,100.0
neil pryde-1,2,4,50.0
Bonefish Grill,4,4,100.0
naturalizer-2,3,4,75.0
magimix,4,4,100.0
huarun,4,4,100.0
neutrogena,4,4,100.0
seaoil philippines,4,4,100.0
Honeywell,4,4,100.0
pipeworks,2,4,50.0
bernzomatic,4,4,100.0
EPSON,2,4,50.0
socar-2,0,4,0.0
baby bullet,4,4,100.0
nondo,4,4,100.0
hekman,4,4,100.0
bio ionic,4,4,100.0
cofco,4,4,100.0
lifan-1,4,4,100.0
pignose,4,4,100.0
verbatim,4,4,100.0
maxol,4,4,100.0
American Leather,3,4,75.0
avery dennison-1,3,4,75.0
lumiquest,4,4,100.0
peet dryer,4,4,100.0
maybach-1,3,4,75.0
Aveda,4,4,100.0
BODUM,4,4,100.0
le coq,4,4,100.0
unionpay,4,4,100.0
moots cycles,4,4,100.0
summit,4,4,100.0
ACN,4,4,100.0
thomson reuters,4,4,100.0
toyota,2,4,50.0
Bergner's,3,4,75.0
EskinoL,4,4,100.0
macanudo,3,4,75.0
Kuota,4,4,100.0
La Flor Dominicana,4,4,100.0
abus,4,4,100.0
wild berry skittles,4,4,100.0
Dacia,4,4,100.0
Andrelon,3,4,75.0
wangs,4,4,100.0
Infusium 23,4,4,100.0
mona lisa-2,1,4,25.0
stomatol,3,4,75.0
Gianfranco Ferre,4,4,100.0
rollei,3,3,100.0
AirNow,3,3,100.0
opel,3,3,100.0
timex,3,3,100.0
Bentley,3,3,100.0
millonario,3,3,100.0
HEC,3,3,100.0
nongfu spring-2,1,3,33.33333333333333
markor furnishings,3,3,100.0
65amps,3,3,100.0
sephora,3,3,100.0
Mavic,3,3,100.0
KTM,3,3,100.0
nioxin,3,3,100.0
murphyusa,3,3,100.0
littmann,3,3,100.0
Bruno Banani,3,3,100.0
ACQUA DI PARMA,2,3,66.66666666666666
Burt's Bees,3,3,100.0
Apple,0,3,0.0
Hav-A-Tampa,0,3,0.0
ka-bar,3,3,100.0
CHOW TAI SENG-1,0,3,0.0
lambretta,2,3,66.66666666666666
seventh generation,3,3,100.0
atamel,2,3,66.66666666666666
pakistan oilfields,3,3,100.0
Biotherm,3,3,100.0
kia da,3,3,100.0
Cirrus,3,3,100.0
AKPET,3,3,100.0
longrich,3,3,100.0
Ground Round,3,3,100.0
Marriott International,3,3,100.0
apollo,3,3,100.0
Bushmaster,3,3,100.0
meifubao,3,3,100.0
asd,3,3,100.0
shenghong,1,3,33.33333333333333
citic,3,3,100.0
navneet,3,3,100.0
hershesons,3,3,100.0
paul garmirian,3,3,100.0
the laundress,3,3,100.0
oovoo,2,3,66.66666666666666
Altus,3,3,100.0
villa zamorano,3,3,100.0
summer classics,1,3,33.33333333333333
Kelme,3,3,100.0
snow peak-2,2,3,66.66666666666666
manjiamei,3,3,100.0
magnatone,3,3,100.0
murco-2,1,3,33.33333333333333
vo5,3,3,100.0
mentadent,3,3,100.0
vegas robaina,3,3,100.0
shiseido,3,3,100.0
Alterna Haircare,3,3,100.0
norton-3,3,3,100.0
BBK,3,3,100.0
HengYuXiang,2,3,66.66666666666666
Hannspree,3,3,100.0
BP,3,3,100.0
Blaupunkt,3,3,100.0
Houlihan's,3,3,100.0
Cenex,3,3,100.0
nakamichi-2,2,3,66.66666666666666
soldano,3,3,100.0
leki,3,3,100.0
Eden Cheese,3,3,100.0
BJ's Restaurant,3,3,100.0
mentadent sr,2,3,66.66666666666666
macro,3,3,100.0
Breakstone's,3,3,100.0
china railway group limited,3,3,100.0
kilner,3,3,100.0
manfrotto,3,3,100.0
Hummel-2,0,3,0.0
pisen,3,3,100.0
sea-doo,3,3,100.0
Alpha Male,2,3,66.66666666666666
grand sport,3,3,100.0
pritt stick,3,3,100.0
La Aroma de Cuba,3,3,100.0
vipshop,3,3,100.0
revol,3,3,100.0
changhong,3,3,100.0
teflon,3,3,100.0
apothia-1,1,3,33.33333333333333
Cafe Coffee Day,0,3,0.0
AUPRES,3,3,100.0
Ericsson,3,3,100.0
sam moore,3,3,100.0
andor technology,2,3,66.66666666666666
tanmujiang,2,3,66.66666666666666
bobcat,3,3,100.0
Garcia Y Vega,3,3,100.0
jurlique,3,3,100.0
Bruster's Ice Cream,1,3,33.33333333333333
ginetta,3,3,100.0
Bapco,2,3,66.66666666666666
Chef Boyardee,3,3,100.0
norton-2,1,3,33.33333333333333
pontiac,3,3,100.0
BEST EXPRESS-2,0,3,0.0
redken,3,3,100.0
tjoy,3,3,100.0
snow peak-1,1,3,33.33333333333333
Herborist,3,3,100.0
Aveeno,3,3,100.0
Bradford Exchange,3,3,100.0
Citroen,3,3,100.0
royalstar,3,3,100.0
Kolynos,3,3,100.0
xinruncheng,3,3,100.0
macron,3,3,100.0
playmobil,3,3,100.0
china post group corporation,3,3,100.0
bottecchia,3,3,100.0
loblaw,3,3,100.0
luxottica,3,3,100.0
tito's,3,3,100.0
haier,3,3,100.0
strida,3,3,100.0
Aqua Guard,3,3,100.0
Benihana,3,3,100.0
sonos,3,3,100.0
HARMAN KARDON,3,3,100.0
wilson,3,3,100.0
lululemon athletica-1,1,3,33.33333333333333
weixing,3,3,100.0
prudenial,3,3,100.0
simple human,3,3,100.0
wetherm,3,3,100.0
pulser,3,3,100.0
Crayola,3,3,100.0
newegg.com,3,3,100.0
me too,3,3,100.0
yutong-2,0,3,0.0
Clarion,2,3,66.66666666666666
Cola Cao,3,3,100.0
3t cycling,3,3,100.0
Hisense,3,3,100.0
grohe,3,3,100.0
BUGATTI,3,3,100.0
akurra,3,3,100.0
Binatone,3,3,100.0
Embraer,3,3,100.0
sk-ii,3,3,100.0
faceshop,3,3,100.0
Admiral Oversea Corporation,3,3,100.0
mona lisa-3,1,3,33.33333333333333
chang'an-3,1,3,33.33333333333333
bic cristal,3,3,100.0
burley design,3,3,100.0
Lotus Cars,3,3,100.0
Fair and Lovely,3,3,100.0
nos (nitrous oxide systems),3,3,100.0
BELOMO,3,3,100.0
nixon watches-2,2,3,66.66666666666666
2XU,3,3,100.0
pianor,3,3,100.0
Alcatel-2,0,3,0.0
Blue Avocado,3,3,100.0
voluspa,3,3,100.0
Heckler & Koch,2,3,66.66666666666666
Avalon Organic Botanicals,3,3,100.0
sennelier,3,3,100.0
meizu,3,3,100.0
maglite,3,3,100.0
ruffles,2,2,100.0
renesas,2,2,100.0
chinon,2,2,100.0
Carnation,1,2,50.0
Cretacolor,2,2,100.0
Hilleberg,2,2,100.0
Lancia,2,2,100.0
walkman,1,2,50.0
ANCAP-1,0,2,0.0
Joe's Crab Shack,1,2,50.0
BridgePort,2,2,100.0
Absolut,2,2,100.0
Admiral,0,2,0.0
t.j. maxx,2,2,100.0
molten,2,2,100.0
sleemon,2,2,100.0
new holland-2,1,2,50.0
moonbasa,0,2,0.0
clarins,2,2,100.0
sf express,1,2,50.0
rosarita,2,2,100.0
vidyo-2,0,2,0.0
fuyou,2,2,100.0
kichesippi-2,1,2,50.0
zatarain's,2,2,100.0
Coccolino,2,2,100.0
ridley,2,2,100.0
lanvin,2,2,100.0
Etro,1,2,50.0
Cacharel,1,2,50.0
Blue Stratos,2,2,100.0
Hoffmann,1,2,50.0
KITCHEN AID,2,2,100.0
BEATS BY DRE,2,2,100.0
hertz,2,2,100.0
chimei,1,2,50.0
Egnater,2,2,100.0
teamviewer,2,2,100.0
Aubrey Organics,2,2,100.0
yuhangren-2,2,2,100.0
nestle wonder ball,2,2,100.0
titleist,2,2,100.0
hubba wheels,2,2,100.0
Beko,2,2,100.0
quiktrip,2,2,100.0
uber-1,0,2,0.0
baird,2,2,100.0
mona lisa-1,1,2,50.0
Braddington Young,2,2,100.0
nongfu spring-1,1,2,50.0
Brooks Saddle,2,2,100.0
lan-choo,2,2,100.0
simply amish,2,2,100.0
binaca,2,2,100.0
CBCI Telecom,2,2,100.0
A. Turrent,2,2,100.0
tombow,2,2,100.0
cervelo,2,2,100.0
jagex,2,2,100.0
maggiano's little italy,2,2,100.0
Kiehl's,2,2,100.0
Ijml,2,2,100.0
taza chocolate,0,2,0.0
Guantanamera,1,2,50.0
thermos,2,2,100.0
mountainsmith,2,2,100.0
Havells,2,2,100.0
saimaza,2,2,100.0
IBM,2,2,100.0
Haglofs,0,2,0.0
unifon,2,2,100.0
lishen,2,2,100.0
neil pryde-2,0,2,0.0
BenQ,2,2,100.0
LLoyd's,2,2,100.0
Guy Laroche,1,2,50.0
Boulevard,2,2,100.0
airmate,2,2,100.0
miele,2,2,100.0
pigeon,2,2,100.0
cenpin,2,2,100.0
jaeger-lecoultre,2,2,100.0
sentra,2,2,100.0
corneliani,1,2,50.0
Erikli,1,2,50.0
pipidog,2,2,100.0
malata-1,1,2,50.0
Fujitsu Siemens,2,2,100.0
Fujinon,2,2,100.0
Magna-1,2,2,100.0
huari appliance,2,2,100.0
Arturo Fuente,2,2,100.0
Blue Riband,1,2,50.0
prandina,2,2,100.0
xellent swiss,2,2,100.0
peavey,2,2,100.0
