epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.162,1.31284,4.67371,1.50131,0.42021,0.11641,0.0865,0.05503,1.24881,3.45683,1.53844,7.36955e-05,7.36955e-05,7.36955e-05
2,168.928,1.21033,3.88399,1.43651,0.50779,0.24592,0.28991,0.18199,1.27476,2.78677,1.57392,0.000144771,0.000144771,0.000144771
3,212.52,1.2086,3.32687,1.42504,0.51404,0.40764,0.44402,0.2872,1.24343,2.23716,1.50381,0.000212916,0.000212916,0.000212916
4,256.17,1.19904,2.91397,1.38758,0.54605,0.50185,0.54351,0.3617,1.22386,1.99576,1.50073,0.000208813,0.000208813,0.000208813
5,299.637,1.17665,2.66651,1.37061,0.75284,0.57245,0.65231,0.464,1.15054,1.69189,1.44225,0.000204418,0.000204418,0.000204418
6,343.124,1.12704,2.42722,1.32806,0.73255,0.55837,0.68275,0.46899,1.16239,1.67078,1.42239,0.000200022,0.000200022,0.000200022
7,385.674,1.12428,2.27096,1.31884,0.67845,0.67198,0.72673,0.50153,1.12441,1.53314,1.41056,0.000195626,0.000195626,0.000195626
8,431.184,1.11541,2.14311,1.30683,0.76932,0.69204,0.75758,0.53818,1.0595,1.37162,1.36029,0.000191231,0.000191231,0.000191231
9,427.124,1.07107,1.96809,1.27321,0.76737,0.71127,0.77688,0.55614,1.09433,1.28429,1.36823,0.000186835,0.000186835,0.000186835
10,472.211,1.06224,1.87965,1.27594,0.75449,0.72002,0.78989,0.55492,1.13202,1.30721,1.37729,0.00018244,0.00018244,0.00018244
11,515.98,1.05541,1.80637,1.26323,0.84825,0.71793,0.8117,0.58578,1.09265,1.18638,1.34027,0.000178044,0.000178044,0.000178044
12,561.242,1.03554,1.72938,1.25501,0.85408,0.72286,0.8147,0.57154,1.0878,1.17611,1.36412,0.000173648,0.000173648,0.000173648
13,605.318,1.02278,1.63421,1.23771,0.78242,0.79902,0.85907,0.61416,1.03878,1.1302,1.32901,0.000169253,0.000169253,0.000169253
14,648.587,1.00829,1.55255,1.22407,0.80173,0.79515,0.85098,0.60632,1.10945,1.08042,1.34873,0.000164857,0.000164857,0.000164857
15,691.502,1.0023,1.51612,1.22915,0.87883,0.76191,0.86607,0.63017,1.0368,1.01261,1.28501,0.000160462,0.000160462,0.000160462
16,734.524,1.00346,1.45879,1.22037,0.81521,0.81956,0.86264,0.62511,1.04981,1.03592,1.316,0.000156066,0.000156066,0.000156066
